 14:14:45 up 41 min,  1 user,  load average: 0,60, 0,78, 0,70
 14:14:46 up 41 min,  1 user,  load average: 0,60, 0,78, 0,70
 14:14:47 up 41 min,  1 user,  load average: 0,60, 0,78, 0,70
 14:14:48 up 41 min,  1 user,  load average: 0,71, 0,80, 0,71
 14:14:49 up 41 min,  1 user,  load average: 0,71, 0,80, 0,71
 14:14:50 up 41 min,  1 user,  load average: 0,71, 0,80, 0,71
 14:14:51 up 41 min,  1 user,  load average: 0,71, 0,80, 0,71
 14:14:52 up 41 min,  1 user,  load average: 0,71, 0,80, 0,71
 14:14:53 up 41 min,  1 user,  load average: 0,65, 0,79, 0,70
 14:14:54 up 41 min,  1 user,  load average: 0,65, 0,79, 0,70
 14:14:55 up 41 min,  1 user,  load average: 0,65, 0,79, 0,70
 14:14:56 up 41 min,  1 user,  load average: 0,65, 0,79, 0,70
 14:14:57 up 41 min,  1 user,  load average: 0,65, 0,79, 0,70
 14:14:58 up 41 min,  1 user,  load average: 0,60, 0,77, 0,70
 14:14:59 up 41 min,  1 user,  load average: 0,60, 0,77, 0,70
 14:15:00 up 41 min,  1 user,  load average: 0,60, 0,77, 0,70
 14:15:01 up 41 min,  1 user,  load average: 0,60, 0,77, 0,70
 14:15:02 up 41 min,  1 user,  load average: 0,60, 0,77, 0,70
 14:15:03 up 41 min,  1 user,  load average: 0,63, 0,78, 0,70
 14:15:04 up 41 min,  1 user,  load average: 0,63, 0,78, 0,70
 14:15:05 up 41 min,  1 user,  load average: 0,63, 0,78, 0,70
 14:15:06 up 41 min,  1 user,  load average: 0,63, 0,78, 0,70
 14:15:07 up 41 min,  1 user,  load average: 0,63, 0,78, 0,70
 14:15:08 up 41 min,  1 user,  load average: 0,74, 0,80, 0,71
 14:15:09 up 41 min,  1 user,  load average: 0,74, 0,80, 0,71
 14:15:10 up 41 min,  1 user,  load average: 0,74, 0,80, 0,71
 14:15:11 up 41 min,  1 user,  load average: 0,74, 0,80, 0,71
 14:15:12 up 41 min,  1 user,  load average: 0,68, 0,79, 0,70
 14:15:13 up 41 min,  1 user,  load average: 0,68, 0,79, 0,70
 14:15:14 up 41 min,  1 user,  load average: 0,68, 0,79, 0,70
 14:15:15 up 41 min,  1 user,  load average: 0,68, 0,79, 0,70
 14:15:16 up 41 min,  1 user,  load average: 0,68, 0,79, 0,70
 14:15:17 up 41 min,  1 user,  load average: 0,71, 0,79, 0,70
 14:15:18 up 41 min,  1 user,  load average: 0,71, 0,79, 0,70
 14:15:19 up 41 min,  1 user,  load average: 0,71, 0,79, 0,70
 14:15:20 up 41 min,  1 user,  load average: 0,71, 0,79, 0,70
 14:15:21 up 41 min,  1 user,  load average: 0,71, 0,79, 0,70
 14:15:22 up 42 min,  1 user,  load average: 0,65, 0,78, 0,70
 14:15:23 up 42 min,  1 user,  load average: 0,65, 0,78, 0,70
 14:15:24 up 42 min,  1 user,  load average: 0,65, 0,78, 0,70
 14:15:25 up 42 min,  1 user,  load average: 0,65, 0,78, 0,70
 14:15:26 up 42 min,  1 user,  load average: 0,65, 0,78, 0,70
 14:15:27 up 42 min,  1 user,  load average: 0,60, 0,76, 0,70
 14:15:28 up 42 min,  1 user,  load average: 0,60, 0,76, 0,70
 14:15:29 up 42 min,  1 user,  load average: 0,60, 0,76, 0,70
 14:15:30 up 42 min,  1 user,  load average: 0,60, 0,76, 0,70
 14:15:31 up 42 min,  1 user,  load average: 0,60, 0,76, 0,70
 14:15:32 up 42 min,  1 user,  load average: 0,63, 0,77, 0,70
 14:15:33 up 42 min,  1 user,  load average: 0,63, 0,77, 0,70
 14:15:34 up 42 min,  1 user,  load average: 0,63, 0,77, 0,70
 14:15:35 up 42 min,  1 user,  load average: 0,63, 0,77, 0,70
 14:15:36 up 42 min,  1 user,  load average: 0,63, 0,77, 0,70
 14:15:37 up 42 min,  1 user,  load average: 0,58, 0,75, 0,70
 14:15:38 up 42 min,  1 user,  load average: 0,58, 0,75, 0,70
 14:15:39 up 42 min,  1 user,  load average: 0,58, 0,75, 0,70
 14:15:40 up 42 min,  1 user,  load average: 0,58, 0,75, 0,70
 14:15:41 up 42 min,  1 user,  load average: 0,58, 0,75, 0,70
 14:15:42 up 42 min,  1 user,  load average: 0,53, 0,74, 0,69
 14:15:43 up 42 min,  1 user,  load average: 0,53, 0,74, 0,69
 14:15:44 up 42 min,  1 user,  load average: 0,53, 0,74, 0,69
 14:15:45 up 42 min,  1 user,  load average: 0,53, 0,74, 0,69
 14:15:46 up 42 min,  1 user,  load average: 0,53, 0,74, 0,69
 14:15:47 up 42 min,  1 user,  load average: 0,57, 0,75, 0,69
 14:15:48 up 42 min,  1 user,  load average: 0,57, 0,75, 0,69
 14:15:49 up 42 min,  1 user,  load average: 0,57, 0,75, 0,69
 14:15:50 up 42 min,  1 user,  load average: 0,57, 0,75, 0,69
 14:15:51 up 42 min,  1 user,  load average: 0,57, 0,75, 0,69
 14:15:52 up 42 min,  1 user,  load average: 0,61, 0,75, 0,70
 14:15:53 up 42 min,  1 user,  load average: 0,61, 0,75, 0,70
 14:15:54 up 42 min,  1 user,  load average: 0,61, 0,75, 0,70
 14:15:55 up 42 min,  1 user,  load average: 0,61, 0,75, 0,70
 14:15:56 up 42 min,  1 user,  load average: 0,61, 0,75, 0,70
 14:15:57 up 42 min,  1 user,  load average: 0,56, 0,74, 0,69
 14:15:58 up 42 min,  1 user,  load average: 0,56, 0,74, 0,69
 14:15:59 up 42 min,  1 user,  load average: 0,56, 0,74, 0,69
 14:16:00 up 42 min,  1 user,  load average: 0,56, 0,74, 0,69
 14:16:01 up 42 min,  1 user,  load average: 0,56, 0,74, 0,69
 14:16:02 up 42 min,  1 user,  load average: 0,59, 0,74, 0,69
 14:16:03 up 42 min,  1 user,  load average: 0,59, 0,74, 0,69
 14:16:04 up 42 min,  1 user,  load average: 0,59, 0,74, 0,69
 14:16:05 up 42 min,  1 user,  load average: 0,59, 0,74, 0,69
 14:16:06 up 42 min,  1 user,  load average: 0,59, 0,74, 0,69
 14:16:07 up 42 min,  1 user,  load average: 0,63, 0,75, 0,70
 14:16:08 up 42 min,  1 user,  load average: 0,63, 0,75, 0,70
 14:16:09 up 42 min,  1 user,  load average: 0,63, 0,75, 0,70
 14:16:10 up 42 min,  1 user,  load average: 0,63, 0,75, 0,70
 14:16:11 up 42 min,  1 user,  load average: 0,63, 0,75, 0,70
 14:16:12 up 42 min,  1 user,  load average: 0,58, 0,73, 0,69
 14:16:13 up 42 min,  1 user,  load average: 0,58, 0,73, 0,69
 14:16:14 up 42 min,  1 user,  load average: 0,58, 0,73, 0,69
 14:16:15 up 42 min,  1 user,  load average: 0,58, 0,73, 0,69
 14:16:16 up 42 min,  1 user,  load average: 0,58, 0,73, 0,69
 14:16:17 up 42 min,  1 user,  load average: 0,61, 0,74, 0,69
 14:16:18 up 42 min,  1 user,  load average: 0,61, 0,74, 0,69
 14:16:19 up 42 min,  1 user,  load average: 0,61, 0,74, 0,69
 14:16:20 up 42 min,  1 user,  load average: 0,61, 0,74, 0,69
 14:16:21 up 43 min,  1 user,  load average: 0,61, 0,74, 0,69
 14:16:22 up 43 min,  1 user,  load average: 0,56, 0,73, 0,69
 14:16:23 up 43 min,  1 user,  load average: 0,56, 0,73, 0,69
 14:16:24 up 43 min,  1 user,  load average: 0,56, 0,73, 0,69
 14:16:25 up 43 min,  1 user,  load average: 0,56, 0,73, 0,69
 14:16:26 up 43 min,  1 user,  load average: 0,56, 0,73, 0,69
 14:16:28 up 43 min,  1 user,  load average: 0,52, 0,71, 0,69
 14:16:29 up 43 min,  1 user,  load average: 0,52, 0,71, 0,69
 14:16:30 up 43 min,  1 user,  load average: 0,52, 0,71, 0,69
 14:16:31 up 43 min,  1 user,  load average: 0,52, 0,71, 0,69
 14:16:32 up 43 min,  1 user,  load average: 0,52, 0,71, 0,69
 14:16:33 up 43 min,  1 user,  load average: 0,55, 0,72, 0,69
 14:16:34 up 43 min,  1 user,  load average: 0,55, 0,72, 0,69
 14:16:35 up 43 min,  1 user,  load average: 0,55, 0,72, 0,69
 14:16:36 up 43 min,  1 user,  load average: 0,55, 0,72, 0,69
 14:16:37 up 43 min,  1 user,  load average: 0,55, 0,72, 0,69
 14:16:38 up 43 min,  1 user,  load average: 0,51, 0,71, 0,68
 14:16:39 up 43 min,  1 user,  load average: 0,51, 0,71, 0,68
 14:16:40 up 43 min,  1 user,  load average: 0,51, 0,71, 0,68
 14:16:41 up 43 min,  1 user,  load average: 0,51, 0,71, 0,68
 14:16:42 up 43 min,  1 user,  load average: 0,51, 0,71, 0,68
 14:16:43 up 43 min,  1 user,  load average: 0,47, 0,69, 0,68
 14:16:44 up 43 min,  1 user,  load average: 0,47, 0,69, 0,68
