 14:49:10 up  1:15,  1 user,  load average: 1,45, 1,38, 1,14
 14:49:11 up  1:15,  1 user,  load average: 1,45, 1,38, 1,14
 14:49:12 up  1:15,  1 user,  load average: 1,45, 1,38, 1,14
 14:49:13 up  1:15,  1 user,  load average: 1,49, 1,39, 1,15
 14:49:14 up  1:15,  1 user,  load average: 1,49, 1,39, 1,15
 14:49:15 up  1:15,  1 user,  load average: 1,49, 1,39, 1,15
 14:49:16 up  1:15,  1 user,  load average: 1,49, 1,39, 1,15
 14:49:17 up  1:15,  1 user,  load average: 1,49, 1,39, 1,15
 14:49:18 up  1:15,  1 user,  load average: 1,45, 1,38, 1,15
 14:49:19 up  1:15,  1 user,  load average: 1,45, 1,38, 1,15
 14:49:20 up  1:15,  1 user,  load average: 1,45, 1,38, 1,15
 14:49:21 up  1:15,  1 user,  load average: 1,45, 1,38, 1,15
 14:49:22 up  1:16,  1 user,  load average: 1,45, 1,38, 1,15
 14:49:23 up  1:16,  1 user,  load average: 1,42, 1,37, 1,15
 14:49:24 up  1:16,  1 user,  load average: 1,42, 1,37, 1,15
 14:49:25 up  1:16,  1 user,  load average: 1,42, 1,37, 1,15
 14:49:26 up  1:16,  1 user,  load average: 1,42, 1,37, 1,15
 14:49:27 up  1:16,  1 user,  load average: 1,42, 1,37, 1,15
 14:49:28 up  1:16,  1 user,  load average: 1,46, 1,39, 1,15
 14:49:29 up  1:16,  1 user,  load average: 1,46, 1,39, 1,15
 14:49:30 up  1:16,  1 user,  load average: 1,46, 1,39, 1,15
 14:49:31 up  1:16,  1 user,  load average: 1,46, 1,39, 1,15
 14:49:32 up  1:16,  1 user,  load average: 1,46, 1,39, 1,15
 14:49:33 up  1:16,  1 user,  load average: 1,51, 1,40, 1,16
 14:49:34 up  1:16,  1 user,  load average: 1,51, 1,40, 1,16
 14:49:35 up  1:16,  1 user,  load average: 1,51, 1,40, 1,16
 14:49:36 up  1:16,  1 user,  load average: 1,51, 1,40, 1,16
 14:49:37 up  1:16,  1 user,  load average: 1,51, 1,40, 1,16
 14:49:38 up  1:16,  1 user,  load average: 1,47, 1,39, 1,16
 14:49:39 up  1:16,  1 user,  load average: 1,47, 1,39, 1,16
 14:49:40 up  1:16,  1 user,  load average: 1,47, 1,39, 1,16
 14:49:41 up  1:16,  1 user,  load average: 1,47, 1,39, 1,16
 14:49:42 up  1:16,  1 user,  load average: 1,47, 1,39, 1,16
 14:49:43 up  1:16,  1 user,  load average: 1,51, 1,40, 1,16
 14:49:44 up  1:16,  1 user,  load average: 1,51, 1,40, 1,16
 14:49:45 up  1:16,  1 user,  load average: 1,51, 1,40, 1,16
 14:49:46 up  1:16,  1 user,  load average: 1,51, 1,40, 1,16
 14:49:47 up  1:16,  1 user,  load average: 1,51, 1,40, 1,16
 14:49:48 up  1:16,  1 user,  load average: 1,39, 1,38, 1,15
 14:49:49 up  1:16,  1 user,  load average: 1,39, 1,38, 1,15
 14:49:50 up  1:16,  1 user,  load average: 1,39, 1,38, 1,15
 14:49:51 up  1:16,  1 user,  load average: 1,39, 1,38, 1,15
 14:49:52 up  1:16,  1 user,  load average: 1,36, 1,37, 1,15
 14:49:53 up  1:16,  1 user,  load average: 1,36, 1,37, 1,15
 14:49:54 up  1:16,  1 user,  load average: 1,36, 1,37, 1,15
 14:49:55 up  1:16,  1 user,  load average: 1,36, 1,37, 1,15
 14:49:56 up  1:16,  1 user,  load average: 1,36, 1,37, 1,15
 14:49:57 up  1:16,  1 user,  load average: 1,33, 1,36, 1,15
 14:49:58 up  1:16,  1 user,  load average: 1,33, 1,36, 1,15
 14:49:59 up  1:16,  1 user,  load average: 1,33, 1,36, 1,15
 14:50:00 up  1:16,  1 user,  load average: 1,33, 1,36, 1,15
 14:50:01 up  1:16,  1 user,  load average: 1,33, 1,36, 1,15
 14:50:02 up  1:16,  1 user,  load average: 1,38, 1,37, 1,16
